Type,EDI_Std_Nomenclature,AISC_Manual_Label,EDI_Std_Nomenclature,AISC_Manual_Label
W,W21X44,W21X44,W530X66,W530X66
W,W18X311,W18X311,W460X464,W460X464
W,W18X283,W18X283,W460X421,W460X421
W,W18X258,W18X258,W460X384,W460X384
W,W18X234,W18X234,W460X349,W460X349
W,W18X211,W18X211,W460X315,W460X315
W,W18X192,W18X192,W460X286,W460X286
W,W18X175,W18X175,W460X260,W460X260
W,W18X158,W18X158,W460X235,W460X235
W,W18X143,W18X143,W460X213,W460X213
W,W18X130,W18X130,W460X193,W460X193
W,W18X119,W18X119,W460X177,W460X177
W,W18X106,W18X106,W460X158,W460X158
W,W18X97,W18X97,W460X144,W460X144
W,W18X86,W18X86,W460X128,W460X128
W,W18X76,W18X76,W460X113,W460X113
W,W18X71,W18X71,W460X106,W460X106
W,W18X65,W18X65,W460X97,W460X97
W,W18X60,W18X60,W460X89,W460X89
W,W18X55,W18X55,W460X82,W460X82
W,W18X50,W18X50,W460X74,W460X74
W,W18X46,W18X46,W460X68,W460X68
W,W18X40,W18X40,W460X60,W460X60
W,W18X35,W18X35,W460X52,W460X52
W,W16X100,W16X100,W410X149,W410X149
W,W16X89,W16X89,W410X132,W410X132
W,W16X77,W16X77,W410X114,W410X114
W,W16X67,W16X67,W410X100,W410X100
W,W16X57,W16X57,W410X85,W410X85
W,W16X50,W16X50,W410X75,W410X75
W,W16X45,W16X45,W410X67,W410X67
W,W16X40,W16X40,W410X60,W410X60
W,W16X36,W16X36,W410X53,W410X53
W,W16X31,W16X31,W410X46.1,W410X46.1
W,W16X26,W16X26,W410X38.8,W410X38.8
W,W14X873,W14X873,W360X1299,W360X1299
W,W14X808,W14X808,W360X1202,W360X1202
W,W14X730,W14X730,W360X1086,W360X1086
W,W14X665,W14X665,W360X990,W360X990
W,W14X605,W14X605,W360X900,W360X900
W,W14X550,W14X550,W360X818,W360X818
W,W14X500,W14X500,W360X744,W360X744
W,W14X455,W14X455,W360X677,W360X677
W,W14X426,W14X426,W360X634,W360X634
W,W14X398,W14X398,W360X592,W360X592
W,W14X370,W14X370,W360X551,W360X551
W,W14X342,W14X342,W360X509,W360X509
W,W14X311,W14X311,W360X463,W360X463
W,W14X283,W14X283,W360X421,W360X421
W,W14X257,W14X257,W360X382,W360X382
W,W14X233,W14X233,W360X347,W360X347
W,W14X211,W14X211,W360X314,W360X314
W,W14X193,W14X193,W360X287,W360X287
W,W14X176,W14X176,W360X262,W360X262
W,W14X159,W14X159,W360X237,W360X237
W,W14X145,W14X145,W360X216,W360X216
W,W14X132,W14X132,W360X196,W360X196
W,W14X120,W14X120,W360X179,W360X179
W,W14X109,W14X109,W360X162,W360X162
W,W14X99,W14X99,W360X147,W360X147
W,W14X90,W14X90,W360X134,W360X134
W,W14X82,W14X82,W360X122,W360X122
W,W14X74,W14X74,W360X110,W360X110
W,W14X68,W14X68,W360X101,W360X101
W,W14X61,W14X61,W360X91,W360X91
W,W14X53,W14X53,W360X79,W360X79
W,W14X48,W14X48,W360X72,W360X72
W,W14X43,W14X43,W360X64,W360X64
W,W14X38,W14X38,W360X57.8,W360X57.8
W,W14X34,W14X34,W360X51,W360X51
W,W14X30,W14X30,W360X44,W360X44
W,W14X26,W14X26,W360X39,W360X39
W,W14X22,W14X22,W360X32.9,W360X32.9
W,W12X336,W12X336,W310X500,W310X500
W,W12X305,W12X305,W310X454,W310X454
W,W12X279,W12X279,W310X415,W310X415
W,W12X252,W12X252,W310X375,W310X375
W,W12X230,W12X230,W310X342,W310X342
W,W12X210,W12X210,W310X313,W310X313
W,W12X190,W12X190,W310X283,W310X283
W,W12X170,W12X170,W310X253,W310X253
W,W12X152,W12X152,W310X226,W310X226
W,W12X136,W12X136,W310X202,W310X202
W,W12X120,W12X120,W310X179,W310X179
W,W12X106,W12X106,W310X158,W310X158
W,W12X96,W12X96,W310X143,W310X143
W,W12X87,W12X87,W310X129,W310X129
W,W12X79,W12X79,W310X117,W310X117
W,W12X72,W12X72,W310X107,W310X107
W,W12X65,W12X65,W310X97,W310X97
W,W12X58,W12X58,W310X86,W310X86
W,W12X53,W12X53,W310X79,W310X79
W,W12X50,W12X50,W310X74,W310X74
W,W12X45,W12X45,W310X67,W310X67
W,W12X40,W12X40,W310X60,W310X60
W,W12X35,W12X35,W310X52,W310X52
W,W12X30,W12X30,W310X44.5,W310X44.5
W,W12X26,W12X26,W310X38.7,W310X38.7
W,W12X22,W12X22,W310X32.7,W310X32.7
W,W12X19,W12X19,W310X28.3,W310X28.3
W,W12X16,W12X16,W310X23.8,W310X23.8
W,W12X14,W12X14,W310X21,W310X21
W,W10X112,W10X112,W250X167,W250X167
W,W10X100,W10X100,W250X149,W250X149
